OID,Oversight Agency,Operator Name,Location Name,Address,City,State,Postcode,WiFi Dwn,WiFi Up,Wi-Fi Available,Workstation #,Staffed,Mon Open,Mon Close,Mon Open_2,Mon Close_2,Tue Open,Tue Close,Tue Open_2,Tue Close_2,Wed Open,Wed Close,Wed Open_2,Wed Close_2,Thu Open,Thu Close,Thu Open_2,Thu Close_2,Fri Open,Fri Close,Fri Open_2,Fri Close_2,Sat Open,Sat Close,Sat Open_2,Sat Close_2,Sun Open,Sun Close,Language Access,Wheelchair Accessible,Wheelchair Access Notes,OS Accessibility Features,Open Lab Hrs Per Wk,Training  Hours Per Wk,Supplementary Equipment,Device Loaning,Devices Loaned,Access Requirements,Access Notes,URL,BoroCode,Borough,NTA Name
73,New York Public Library,New York Public Library,St. Agnes,444 Amsterdam Avenue,New York,NY,10024,60.0,60.0,True,61,True,10:00 AM,6:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,5:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Branch displays signage in multiple languages.  Reservation and printing software supports both English and Spanish instructions.  Public Windows computers offer the following keyboard input languages:  English, Spanish, Chinese (Simplified), Chinese (Traditional), Russian, Bengali, Vietnamese, French, German, Arabic (101), Italian, Polish (Programmers), Japanese, Albanian, Korean, Hindi, Urdu",Y,,True,49:00:00,2.9,"Printer, Photocopier, Projector",,,All ages; library card required for use of public computers,,https://www.nypl.org/locations/st-agnes,1,Manhattan,Upper West Side
468,Department of Youth and Community Development,Research Foundation of CUNY,Saratoga Village,940 Hancock Street,Brooklyn,NY,11233,,,False,5,False,6:30 PM,9:30 PM,,,6:30 PM,9:30 PM,,,6:30 PM,9:30 PM,,,6:30 PM,9:30 PM,,,6:30 PM,9:30 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,,Y,,True,22:00:00,0.0,"Printer, Scanner, Projector",,,"Between 3pmand 6pm during the school year, and 8am and 6pm during the summer, access is restricted to youth, ages 5-11.  Other hours are open, but programming may be age-restricted; please contact the center to confirm.  Participants may be required to fill out an application to utilize the computer lab.",,https://ares.mec.cuny.edu/spcd/cornerstone-initiatives/,3,Brooklyn,Ocean Hill
386,Department for the Aging,Older Adults Technology Services,Senior Planet Exploration Center,127 West 25th Street,Manhattan,NY,10001,300.0,20.0,True,22,False,10:00 AM,5:00 PM,,,10:00 AM,5:00 PM,,,10:00 AM,5:00 PM,,,10:00 AM,5:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,,,Closed,Closed,"Bilingual staff, offering assistance in: Spanish, Mandarin, Cantonese, Bengali, Russian; programming available in Spanish",Y,,True,35:00:00,3.0,Instructional Monitor,,,Must be 60+ years of age to access,,https://www.seniorplanet.org,1,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
297,Department for the Aging,"BROOKLYN SECTION NATIONAL COUNCIL OF JEWISH WOMEN, INC.",COUNCIL CENTER FOR SENIOR CITIZENS NSC,1001 Quentin Road,Brooklyn,NY,11223,17.0,13.0,True,10,False,8:30 AM,4:30 PM,,,8:30 AM,4:30 PM,,,8:30 AM,4:30 PM,,,8:30 AM,4:30 PM,,,8:30 AM,4:30 PM,,,Closed,Closed,,,Closed,Closed,Phone and video translation services available.,Y,,True,40:00:00,3.0,"Printer, Photocopier, Scanner, Fax, Projector",,,Must be 60+ years of age to access,,https://www.fyeye.org/council-center-for-senior-citizens.html,3,Brooklyn,Homecrest
185,Queens Library,Queens Library,Jackson Heights,35-51 81 Street,Jackson Heights,NY,11372,20.0,20.0,True,28,True,9:00 AM,8:00 PM,,,1:00 PM,6:00 PM,,,10:00 AM,6:00 PM,,,12:00 PM,8:00 PM,,,10:00 AM,6:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Whenever possible, multilingual staff work at locations where their language expertise is most needed and programming is provided in communities'main languages.  Materials available in Spanish, Chinese, Korean, Russian, Bengali, Gujarati, Hindi, Urdu, Polish, Portuguese.",Y,,True,47:00:00,0.4,"Printer, Scanner",59.0,Tablets,All ages; library card required for use of public computers and WiFi,,http://www.queenslibrary.org/branch/Jackson Heights,4,Queens,Jackson Heights
56,New York Public Library,New York Public Library,New York Public Library for the Performing Arts,40 Lincoln Center Plaza,New York,NY,10023,1000.0,1000.0,True,166,True,12:00 PM,6:00 PM,,,12:00 PM,6:00 PM,,,12:00 PM,6:00 PM,,,12:00 PM,8:00 PM,,,12:00 PM,6:00 PM,,,12:00 PM,6:00 PM,,,Closed,Closed,"Branch displays signage in multiple languages.  Reservation and printing software supports both English and Spanish instructions.  Public Windows computers offer the following keyboard input languages:  English, Spanish, Chinese (Simplified), Chinese (Traditional), Russian, Bengali, Vietnamese, French, German, Arabic (101), Italian, Polish (Programmers), Japanese, Albanian, Korean, Hindi, Urdu",Y,,True,38:00:00,0.0,"Printer, Photocopier, Projector",,,All ages; library card required for use of public computers,,https://www.nypl.org/locations/lpa,1,Manhattan,Lincoln Square
154,Queens Library,Queens Library,Auburndale,25-55 Francis Lewis Boulevard,Flushing,NY,11358,20.0,20.0,True,20,True,12:00 PM,8:00 PM,,,1:00 PM,6:00 PM,,,10:00 AM,6:00 PM,,,12:00 PM,8:00 PM,,,10:00 AM,6:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Whenever possible, multilingual staff work at locations where their language expertise is most needed and programming is provided in communities'main languages.  Materials available in Chinese, Korean, Italian.",Y,,True,44:00:00,0.9,"Printer, Scanner",30.0,Tablets,All ages; library card required for use of public computers and WiFi,,http://www.queenslibrary.org/branch/Auburndale,4,Queens,Ft. Totten-Bay Terrace-Clearview
187,Queens Library,Queens Library,Kew Gardens Hills,71-34 Main Street,Flushing,NY,11367,20.0,20.0,True,25,True,12:00 PM,8:00 PM,,,1:00 PM,6:00 PM,,,10:00 AM,6:00 PM,,,12:00 PM,8:00 PM,,,10:00 AM,6:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Whenever possible, multilingual staff work at locations where their language expertise is most needed and programming is provided in communities'main languages.  Materials available in Russian, Hebrew, Farsi.",Y,,True,44:00:00,0.0,"Printer, Scanner",30.0,Tablets,All ages; library card required for use of public computers and WiFi,,http://www.queenslibrary.org/branch/Kew Gardens Hills,4,Queens,Kew Gardens Hills
31,New York Public Library,New York Public Library,Hamilton Grange,503 West 145th Street,New York,NY,10031,1000.0,1000.0,True,85,True,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,5:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Branch displays signage in multiple languages.  Reservation and printing software supports both English and Spanish instructions.  Public Windows computers offer the following keyboard input languages:  English, Spanish, Chinese (Simplified), Chinese (Traditional), Russian, Bengali, Vietnamese, French, German, Arabic (101), Italian, Polish (Programmers), Japanese, Albanian, Korean, Hindi, Urdu",Y,,True,50:00:00,8.8,"Printer, Photocopier, Projector",,,All ages; library card required for use of public computers,,https://www.nypl.org/locations/hamilton-grange,1,Manhattan,Hamilton Heights
301,Department for the Aging,ELMCOR YOUTH & ADULT ACTIVITIES INC,Elmcor's Golden Phoenix Club One,98-19 Astoria Boulevard,Queens,NY,11369,84.0,12.0,True,3,False,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,,,Closed,Closed,,,Closed,Closed,Programming available in Spanish,N,,True,40:00:00,1.0,,,,Must be 60+ years of age to access,,https://www.elmcor.org/senior-services,4,Queens,East Elmhurst
